year,country,session,happiness_average,happiness_standard_deviation
1949,CSK,04,5.2920108254397835,1.1033208389715832
1949,CUB,04,5.426344086021506,1.1137851851851852
1949,DOM,04,5.402606589147288,1.1104688953488373
1949,ECU,04,5.315236842105263,1.111385
1949,EGY,04,5.330898203592814,1.1144166999334664
1949,ETH,04,5.2415044247787606,1.0958401769911505
1949,FRA,04,5.3155893186003675,1.1004893799877227
1949,GBR,04,5.306373190561174,1.1113205433273843
1949,GRC,04,5.347508445945946,1.1284624155405405
1949,IND,04,5.328499061913696,1.108615459662289
1949,IRQ,04,5.290864397622907,1.1146596974608318
1949,ISR,04,5.314331534772182,1.1313961630695444
1949,LBN,04,5.3134330613478395,1.118183167119976
1949,LBR,04,5.3992707045735475,1.1045024721878862
1949,MEX,04,5.346768189509306,1.0991693739424704
1949,NLD,04,5.346938353330575,1.1089254861398428
1949,NZL,04,5.3829469901168014,1.105196091644205
1949,PAK,04,5.310924050632911,1.0940179430379746
1949,PER,04,5.28678905687545,1.103116414686825
1949,POL,04,5.270675297410777,1.1071371063680895
1949,RUS,04,5.299381613756614,1.1042368716931217
1949,SLV,04,5.2759990009990005,1.0999293206793208
1949,SYR,04,5.256181132075472,1.0991564905660376
1949,UKR,04,5.24284365781711,1.118526017699115
1949,USA,04,5.404530035335689,1.1190826501766784
1949,VEN,04,5.348145734597158,1.1067593009478671
1949,YUG,04,5.319517033203967,1.1131515739542908
1949,ZAF,04,5.290169104204753,1.1100741316270566
1950,ARG,05,5.422487394957983,1.120976806722689
1950,AUS,05,5.402654135338346,1.1199978571428573
1950,BEL,05,5.379271895884629,1.1189211748153358
1950,BLR,05,5.319893272962484,1.1099814359637776
1950,BOL,05,5.42420474853204,1.1181886392647435
1950,BRA,05,5.3758501259445834,1.120626007556675
1950,CAN,05,5.368324142156863,1.1228322916666666
1950,CHL,05,5.376523470839261,1.114351038406828
1950,CHN,05,5.3144753946146706,1.132075719591458
1950,COL,05,5.346131578947369,1.1133465789473687
1950,CSK,05,5.344302398989899,1.1093585227272726
1950,CUB,05,5.331446217189913,1.1118960370560986
1950,DOM,05,5.3465,1.1133433333333334
1950,ECU,05,5.3935554866708,1.117913019218847
1950,EGY,05,5.348361710177828,1.1187616345062428
1950,ETH,05,5.281600481347774,1.1183326915363017
1950,FRA,05,5.411445111492282,1.10361166380789
1950,GBR,05,5.388056279312142,1.1322008598228246
1950,GRC,05,5.457784642541924,1.135449514563107
1950,GTM,05,5.365155615696887,1.1076892647722145
1950,HND,05,5.426345957011258,1.1139577277379733
1950,IND,05,5.323563165201295,1.1236538176770015
1950,IRQ,05,5.3994989384288745,1.1293155414012739
1950,ISR,05,5.344511494252873,1.1241511494252874
1950,LBN,05,5.351288590604027,1.1143172706935123
1950,LBR,05,5.421757338551859,1.1342818786692759
1950,NLD,05,5.365721370604149,1.1214994138863843
1950,NOR,05,5.397463837994215,1.1245977338476374
1950,NZL,05,5.363704283199688,1.1156278310189713
1950,PAK,05,5.307095130237825,1.10052681200453
1950,PAN,05,5.471001926782273,1.111185838150289
1950,PER,05,5.356833938593596,1.1037358204027732
1950,PHL,05,5.3955022831050234,1.1247232115677321
1950,POL,05,5.301640994043952,1.1172810022591908
1950,RUS,05,5.315836410110763,1.1150203351320649
1950,SLV,05,5.38684920940995,1.1107910142691864
1950,SWE,05,5.324966480446927,1.1213654189944133
1950,TUR,05,5.412980431510286,1.106521123933768
1950,UKR,05,5.325944418276024,1.0948391898257184
1950,URY,05,5.339576014536644,1.111205996365839
1950,USA,05,5.426496855345912,1.1307291614255766
1950,VEN,05,5.382348387096774,1.099285870967742
1950,YUG,05,5.349138843276775,1.1205004926108375
1950,ZAF,05,5.376713261648746,1.1256498924731182
1951,ARG,06,5.404737108190091,1.117632406471183
1951,AUS,06,5.423053581191907,1.1267978676872605
1951,BEL,06,5.4103208411970884,1.120846238878404
1951,BLR,06,5.3325106772422215,1.1225289200732154
1951,BOL,06,5.372129314535732,1.1191006319883323
1951,BRA,06,5.436603034752815,1.1017578560939796
1951,CAN,06,5.401074517631404,1.120207751164338
1951,CHL,06,5.36799637899819,1.1142957754978877
1951,CHN,06,5.259016772700983,1.164629149797571
1951,COL,06,5.363063683304647,1.1309412507171543
1951,CRI,06,5.4131392778187175,1.1305280766396464
1951,CSK,06,5.346237002509859,1.1178268196486194
1951,CUB,06,5.390685550082101,1.121940681444992
1951,DNK,06,5.334300993124523,1.1116779984721161
1951,DOM,06,5.403104138851803,1.1255865821094793
1951,ECU,06,5.392837150127227,1.1317563613231554
1951,EGY,06,5.3614029632339495,1.1113801902323028
1951,ETH,06,5.382665862484921,1.1042438480096501
1951,FRA,06,5.411079646017699,1.131732389380531
1951,GBR,06,5.432618963694043,1.123785512865703
1951,GRC,06,5.377779632721201,1.111360656649972
1951,HND,06,5.491790763430726,1.1285681432610744
1951,HTI,06,5.373558578323826,1.1324246160596751
1951,IDN,06,5.418550990462216,1.1246059427732942
1951,IND,06,5.386692546583851,1.1092957039337474
1951,IRN,06,5.377331034482759,1.1329769310344828
1951,IRQ,06,5.358669590643275,1.1131222587719298
1951,ISR,06,5.350240230621395,1.1199301729660474
1951,LBN,06,5.367736765420107,1.110084167071394
1951,LBR,06,5.398192026951151,1.1221725435148793
1951,MMR,06,5.332992592592593,1.1195043703703704
1951,NIC,06,5.520179836512262,1.1203874659400546
1951,NLD,06,5.416672268907563,1.1229605042016806
1951,NZL,06,5.41218071242398,1.119043397046047
1951,PAK,06,5.376424342884206,1.1065242244849631
1951,PAN,06,5.351914387633769,1.1099413396749902
1951,PER,06,5.392740189445196,1.117393403247632
1951,PHL,06,5.35825585229146,1.123474151005605
1951,POL,06,5.3419657394843965,1.1214334803256445
1951,PRY,06,5.30580258302583,1.0974863468634688
1951,RUS,06,5.30653046764289,1.1132755845536138
1951,SLV,06,5.377637393767705,1.1059384702549575
1951,SYR,06,5.2672028423772606,1.1039365956072353
1951,TUR,06,5.449920564872022,1.1252568402471317
1951,UKR,06,5.30540202501489,1.1139069386539606
1951,URY,06,5.485911286780851,1.1192381203337722
1951,USA,06,5.426342105263158,1.1284411403508772
1951,VEN,06,5.419500860585198,1.1094802065404474
1951,YEM,06,5.393142570281125,1.1159604417670683
1951,YUG,06,5.341255052546484,1.1215077809215843
1951,ZAF,06,5.371768115942029,1.1114633623188406
1952,AFG,07,5.48332784184514,1.1210560131795717
1952,ARG,07,5.3655389336402,1.098783851169927
1952,AUS,07,5.3611994076999006,1.1254983958538993
1952,BEL,07,5.378501976284586,1.1174908695652175
1952,BLR,07,5.310166076173605,1.1219962134632417
1952,BOL,07,5.349657122658183,1.1167646164722518
1952,BRA,07,5.379920182440137,1.1248252565564423
1952,CAN,07,5.421077600813284,1.1180765503219248
1952,CHL,07,5.383519929140832,1.106638352524358
1952,CHN,07,5.309827288428325,1.1194016530964719
1952,COL,07,5.431447084233262,1.1294392471459427
1952,CRI,07,5.385357385976855,1.1264324370319947
1952,CSK,07,5.260562980963954,1.1067377750776293
1952,CUB,07,5.394775970793229,1.1142463657484234
1952,DOM,07,5.467564158329709,1.1103936494127882
1952,ECU,07,5.380219160926737,1.12562917971196
1952,EGY,07,5.401514018691588,1.1330434579439252
1952,ETH,07,5.372845321451305,1.102874729471674
1952,FRA,07,5.3614165597833825,1.1096725238705998
1952,GBR,07,5.374597730789067,1.1319032233109851
1952,GRC,07,5.346475947521866,1.1074455903790088
1952,IDN,07,5.361350293542074,1.1103544590438916
1952,IND,07,5.3978550555230855,1.125147399181765
1952,IRQ,07,5.4142655086848634,1.1257461786600496
1952,ISR,07,5.323076923076924,1.117903519727505
1952,LBN,07,5.381003556910568,1.1105326473577237
1952,LBR,07,5.446057619408643,1.1268663381349509
1952,MMR,07,5.294129619710765,1.1086992501339046
1952,NLD,07,5.381902222222222,1.130344059259259
1952,NZL,07,5.340438164376458,1.1092980295566504
1952,PAK,07,5.394143120393121,1.1009539312039311
1952,PAN,07,5.426489361702128,1.1063356382978726
1952,PER,07,5.367939297124601,1.1062422044728433
1952,POL,07,5.29726272352132,1.1186076226501607
1952,PRY,07,5.332094861660079,1.0973600790513833
1952,RUS,07,5.2985790144435,1.1113069881053526
1952,SWE,07,5.334951057783392,1.1189688980107355
1952,SYR,07,5.376849364791289,1.1127959709618875
1952,UKR,07,5.342576931591764,1.1189030108479079
1952,URY,07,5.407263157894737,1.1019990712074303
1952,USA,07,5.42401196369637,1.1222665429042904
1952,YUG,07,5.317042391570693,1.1062666503308012
1952,ZAF,07,5.380958281701776,1.1082944650970672
1953,ARG,08,5.396235854675402,1.1203775461584278
1953,AUS,08,5.329546293853864,1.119099155895542
1953,BEL,08,5.371181075561606,1.1149172226004085
1953,BLR,08,5.33217743568969,1.1140581527243267
1953,BRA,08,5.43062865497076,1.115263596491228
1953,CAN,08,5.3824747639205475,1.1119517421035492
1953,CHL,08,5.2833546511627905,1.1258252906976745
1953,CHN,08,5.39714913887871,1.1250484060095272
1953,COL,08,5.384148537134284,1.1321947486871717
1953,CRI,08,5.409028060187068,1.1205498169987802
1953,CSK,08,5.340150546504434,1.1211049082285007
1953,CUB,08,5.347396466840429,1.1234461917173473
1953,DOM,08,5.3641630901287565,1.1096173104434908
1953,ECU,08,5.391132937414344,1.1190746916400183
1953,EGY,08,5.374501738122827,1.1199708574739282
1953,ETH,08,5.44820281124498,1.1492446787148594
1953,FRA,08,5.378057383521979,1.1173138720715978
1953,GBR,08,5.354718235911796,1.1144872768638432
1953,GRC,08,5.3783029126213595,1.1151761165048544
1953,GTM,08,5.39925179856115,1.1215777458033573
1953,IDN,08,5.398396998635744,1.1323277967257843
1953,IND,08,5.338532899640849,1.0995424476519617
